url,appId,title,summary,developer,developerId,icon,score,price,free
https://play.google.com/store/apps/details?id=eu.aply.skymaster.wheels,eu.aply.skymaster.wheels,Skymaster eMotion,Install Skymaster eMotion and extend device capabilities Skymaster.,Aply Sp. z o.o.,Aply+Sp.+z+o.o.,//lh3.googleusercontent.com/aSS8JXM8lfgidkvm-vHlsV7VKmCaU04ukBjOpOcFEG-PgIgLd_wEBf3lFrUabrhNmMI=w340,4.1,0,True
https://play.google.com/store/apps/details?id=com.ddecator.emotionandcopinggame,com.ddecator.emotionandcopinggame,Emotion and Coping Game,An app that helps parents and kids play a game that teaches about emotions.,Draycen DeCator,4662058010116974549,//lh3.googleusercontent.com/v26GlvBvQsl5Ucf3ricdMoMdQ2G9S6SGsn0rQiWBahfg8AsJisUJLcLfb75e22H8GbUf=w340,4,0,True
https://play.google.com/store/apps/details?id=com.jb.gosms.pctheme.Emotion,com.jb.gosms.pctheme.Emotion,(FREE) GO SMS EMOTION THEME,Emotion is a theme specially designed for GO SMS PRO.,ZT.art,ZT.art,//lh3.googleusercontent.com/WhFbKsavQqbLKlwzl6T2eayihUJ23KOKx5v822eTHUdjCs1P9bJfnJ3r5qfXoeFe9G4=w340,4.7,0,True
https://play.google.com/store/apps/details?id=appinventor.ai_h_habboubi.EmoDetect,appinventor.ai_h_habboubi.EmoDetect,Emotion Detector,Detect emotions on face. See what people feel. Free to use. Enjoy,HMA Labs,4720842708020789561,//lh3.googleusercontent.com/V_KXi4DW1ixadiPrmbFXsl_-CgmDA_iSj3rvoTBwUc45NMV20a2Jvwd1PxxTtjkhuA=w340,2.4,0,True
https://play.google.com/store/apps/details?id=com.thunkable.android.rakib205.Emotion_Tracker,com.thunkable.android.rakib205.Emotion_Tracker,Emotion Tracker - A Mood Analyzer Tool,Analyse your Emotions with the most Easiest & Smartest way ! ✌️👍😺,MRB Apps Studio,MRB+Apps+Studio,//lh3.googleusercontent.com/9_yycwvaZNmieoewRSyD8LbbbcIwKaKT092oaMyT2cfHSbXSWIJzWLKkZojp_9OxoQ=w340,4.3,0,True
https://play.google.com/store/apps/details?id=com.apps.ash.amihappy2,com.apps.ash.amihappy2,Amihappy - Emotion Tracker,Am I Happy app give users stats regarding their emotions. Track your emotions.,Punisher,6376367683642060789,//lh3.googleusercontent.com/Rj2u6FIVyzH3pvk9E3JX83YvbbEucAfLfydMTysrGoFn0KITT6UQEzsLzeP37N2Eyw=w340,5,0,True
https://play.google.com/store/apps/details?id=com.smartappdev.cuteemotionchatlinewhatsapp,com.smartappdev.cuteemotionchatlinewhatsapp,Cute Emotion Chat Social,"Chat social such as line, facebook, whatsapp and google plus with cute emotion.",Smart App Dev,Smart+App+Dev,//lh6.ggpht.com/1ETnGPSi3c_uGDR5-_ElRi5jXXS3ReTcEgVE1_sOhyUJiqt8N6Q4Ok5pku14xVglNaAS=w340,4,0,True
https://play.google.com/store/apps/details?id=com.apstech.emotioncamera.app,com.apstech.emotioncamera.app,Guess My Emotion Emoji,Auto predict the emotions 🎭 & emojify the photo,GlintTec Apps 👌,6208266973921421838,//lh3.googleusercontent.com/s2fLfa_eRYTsQ_a1Ipe2AJHw6dnaFl71gy-cvSdJ_XwezLvpKBVoIjr9v_4UShBYAlM=w340,4.3,0,True
https://play.google.com/store/apps/details?id=com.emoji.android.emojidiy,com.emoji.android.emojidiy,Animoji Emoji Maker: Personal Emotions for phone X,The best ever personalized and customized emoji maker App! No time to hesitate!,Free 3D Animoji Phone X & Emoji Maker Develop Team,Free+3D+Animoji+Phone+X+%26+Emoji+Maker+Develop+Team,//lh3.googleusercontent.com/wioL7ebnG2wH-YDBW4wEnT6o_TZFhQE0eCKRb4JGCZNQkv-XkKE-D4PZfvf9CZKcuOA=w340,4.3,0,True
https://play.google.com/store/apps/details?id=com.codezeal.emojimusic,com.codezeal.emojimusic,Emotion Дуу Таавар,Emotion Sound Puzzle,CodeZeal,CodeZeal,//lh3.googleusercontent.com/jam0jZx1ELHYjw_Y0JtLi164drUX_D00ArJNT31bDA12uE0qvpIJvMajpp8gTP3ptqs=w340,4.1,0,True
https://play.google.com/store/apps/details?id=com.aumva.peas,com.aumva.peas,Mood diary - Track emotions,Your friendly companion helping you to keep track of your emotions and dreams.,Aumva,Aumva,//lh3.googleusercontent.com/4Sj4rEkWd3UU320J-bkxUgxcY3s9kh-C9b0bKpOHd2cODUJXVg37e6FCR1F2Hfpv0umA=w340,4.3,0,True
https://play.google.com/store/apps/details?id=com.technoxskill.EmotionController,com.technoxskill.EmotionController,Emotion Controller,The Ultimate Emotion Controller Application,Technoxskill,Technoxskill,//lh3.googleusercontent.com/6aCBakoPPd8ACSp3XEsqSGz7Q-vEGAxMCA5O8d6Ix1TlnC60niYPIBhuPgskJM4PoA=w340,4.9,0,True
https://play.google.com/store/apps/details?id=com.chudanqing.textemoj,com.chudanqing.textemoj,Super Text Emotion Texting Art,Y(^_^)Y Character Art Y(^_^)Y,A99H.COM,A99H.COM,//lh3.ggpht.com/Tazv8YqhGlH8kKiB-JvYy9zBWDwH4wgvSIxpVwwwFIR42_vDEDVUSV8SGCVwlP6DIWo=w340,3.7,0,True
https://play.google.com/store/apps/details?id=com.codezeal.oyuntugso.emojimovie,com.codezeal.oyuntugso.emojimovie,Emotion Кино Таавар,Emotion Кино Таавар,CodeZeal,CodeZeal,//lh3.googleusercontent.com/F6jrYFA9WMKoY5TA7GuIndIb0tlZd1PqN1UofDV0Wf8RkqwhdCx78fWHGffzmAzauKM=w340,4.2,0,True
https://play.google.com/store/apps/details?id=com.bodychecker.emotionintelligence,com.bodychecker.emotionintelligence,😊 Emotion Measurement Checker,"Health, Fitness, Emotion, Depression, Autism, Compressive & Psychological test",wetited,wetited,//lh3.googleusercontent.com/nWFvQI_MxoBDNVZmq3HzOsyfgFEZO-paGJ4FKJH9Mn0XsD_75hZrVM--16dxT1P7KynB=w340,undefined,0,True
https://play.google.com/store/apps/details?id=com.cuteappsdev.cuteemotionstickers,com.cuteappsdev.cuteemotionstickers,Cute Emotion Sticker,"Chat whatsapp, line, facebook and google+ and make your day with happiness.",Cute Apps Dev,Cute+Apps+Dev,//lh3.googleusercontent.com/QIWe2iwVQ-C1CK1E77E7M_kA6j4yjDQdd3bhOp-no-TL2v4uBGLmldOnkLrUvFJ9upw=w340,undefined,0,True
https://play.google.com/store/apps/details?id=com.emotionalstatus,com.emotionalstatus,Emotion,Words for your Emotions,AMAR D L,AMAR+D+L,//lh3.googleusercontent.com/DenmXFi-1NlY4dhP5xykymKqJz9OlNAMF0L9JspCkyMityUbcH7Ej53VquDYI7FIo2I=w340,3.5,0,True
https://play.google.com/store/apps/details?id=com.luckyworld.cutestickerswhatsappemotion,com.luckyworld.cutestickerswhatsappemotion,Cute Stickers  Emotion Chat app,Represents your feelings through your phone with Cute Stickers Emotion Chat App.,Rico dev,Rico+dev,//lh5.ggpht.com/rWgg6SyZjTVPmDSu808KjwfO8pktLgXE5ZmpHVOE5kIW1r20cUlSsCda_DlR3HbrW6Y=w340,4.1,0,True
https://play.google.com/store/apps/details?id=com.snmobileapp17.emotions.gifs,com.snmobileapp17.emotions.gifs,Emotion GIFs,"Emotion GIFs lets you display, discover, share your favorite Emotion GIFs",Apps of Coloring Book,Apps+of+Coloring+Book,//lh3.googleusercontent.com/Cmt5Ck7vnkRE1_CCoNl6OLRR3qOuT4rOYMpR8BYvrnS1W_RgWkFCrw-Kr08LoJO0lMk=w340,undefined,0,True
https://play.google.com/store/apps/details?id=com.codezeal.emojiproverb,com.codezeal.emojiproverb,Emotion Зүйр Үг Таавар,Emotion proverb Puzzles,CodeZeal,CodeZeal,//lh3.googleusercontent.com/bFKsahFfJ8u4eYkv9sn2O560nFFqsXSvo-jSTHaVxEW21wD1w3iG6nUK2a4xSAPHWw=w340,5,0,True
